,optimizer,initializer,regularization,activation_function,best_valid_acc,dropout
0,sgd,HeNormal,l1,relu,0.8958333134651184,0
1,sgd,HeNormal,l1,relu,0.8948333263397217,0.3
2,sgd,HeNormal,l1,relu,0.8941666483879089,0.5
3,sgd,HeNormal,l1,tanh,0.8923333287239075,0
4,sgd,HeNormal,l1,tanh,0.8843333125114441,0.3
5,sgd,HeNormal,l1,tanh,0.8830000162124634,0.5
6,sgd,HeNormal,l1,sigmoid,0.8558333516120911,0
7,sgd,HeNormal,l1,sigmoid,0.8481666445732117,0.3
8,sgd,HeNormal,l1,sigmoid,0.8391666412353516,0.5
9,sgd,HeNormal,l2,relu,0.8939999938011169,0
10,sgd,HeNormal,l2,relu,0.8948333263397217,0.3
11,sgd,HeNormal,l2,relu,0.8913333415985107,0.5
12,sgd,HeNormal,l2,tanh,0.8899999856948853,0
13,sgd,HeNormal,l2,tanh,0.8863333463668823,0.3
14,sgd,HeNormal,l2,tanh,0.8815000057220459,0.5
15,sgd,HeNormal,l2,sigmoid,0.8550000190734863,0
16,sgd,HeNormal,l2,sigmoid,0.8454999923706055,0.3
17,sgd,HeNormal,l2,sigmoid,0.840833306312561,0.5
18,sgd,RandomNormal,l1,relu,0.8943333625793457,0
19,sgd,RandomNormal,l1,relu,0.8945000171661377,0.3
20,sgd,RandomNormal,l1,relu,0.8916666507720947,0.5
21,sgd,RandomNormal,l1,tanh,0.8883333206176758,0
22,sgd,RandomNormal,l1,tanh,0.8826666474342346,0.3
23,sgd,RandomNormal,l1,tanh,0.8808333277702332,0.5
24,sgd,RandomNormal,l1,sigmoid,0.8538333177566528,0
25,sgd,RandomNormal,l1,sigmoid,0.8483333587646484,0.3
26,sgd,RandomNormal,l1,sigmoid,0.8348333239555359,0.5
27,sgd,RandomNormal,l2,relu,0.8951666951179504,0
28,sgd,RandomNormal,l2,relu,0.8948333263397217,0.3
29,sgd,RandomNormal,l2,relu,0.89083331823349,0.5
30,sgd,RandomNormal,l2,tanh,0.887333333492279,0
31,sgd,RandomNormal,l2,tanh,0.8805000185966492,0.3
32,sgd,RandomNormal,l2,tanh,0.8790000081062317,0.5
33,sgd,RandomNormal,l2,sigmoid,0.8531666398048401,0
34,sgd,RandomNormal,l2,sigmoid,0.8458333611488342,0.3
35,sgd,RandomNormal,l2,sigmoid,0.8373333215713501,0.5
36,sgd,RandomUniform,l1,relu,0.8899999856948853,0
37,sgd,RandomUniform,l1,relu,0.8960000276565552,0.3
38,sgd,RandomUniform,l1,relu,0.8926666378974915,0.5
39,sgd,RandomUniform,l1,tanh,0.8824999928474426,0
40,sgd,RandomUniform,l1,tanh,0.8786666393280029,0.3
41,sgd,RandomUniform,l1,tanh,0.8765000104904175,0.5
42,sgd,RandomUniform,l1,sigmoid,0.8486666679382324,0
43,sgd,RandomUniform,l1,sigmoid,0.8403333425521851,0.3
44,sgd,RandomUniform,l1,sigmoid,0.8291666507720947,0.5
45,sgd,RandomUniform,l2,relu,0.8913333415985107,0
46,sgd,RandomUniform,l2,relu,0.8931666612625122,0.3
47,sgd,RandomUniform,l2,relu,0.890999972820282,0.5
48,sgd,RandomUniform,l2,tanh,0.8833333253860474,0
49,sgd,RandomUniform,l2,tanh,0.8801666498184204,0.3
50,sgd,RandomUniform,l2,tanh,0.8759999871253967,0.5
51,sgd,RandomUniform,l2,sigmoid,0.8489999771118164,0
52,sgd,RandomUniform,l2,sigmoid,0.8376666903495789,0.3
53,sgd,RandomUniform,l2,sigmoid,0.8306666612625122,0.5
54,sgd,GlorotNormal,l1,relu,0.8946666717529297,0
55,sgd,GlorotNormal,l1,relu,0.8946666717529297,0.3
56,sgd,GlorotNormal,l1,relu,0.8946666717529297,0.5
57,sgd,GlorotNormal,l1,tanh,0.887499988079071,0
58,sgd,GlorotNormal,l1,tanh,0.8838333487510681,0.3
59,sgd,GlorotNormal,l1,tanh,0.8798333406448364,0.5
60,sgd,GlorotNormal,l1,sigmoid,0.8528333306312561,0
61,sgd,GlorotNormal,l1,sigmoid,0.8453333377838135,0.3
62,sgd,GlorotNormal,l1,sigmoid,0.8370000123977661,0.5
63,sgd,GlorotNormal,l2,relu,0.893833339214325,0
64,sgd,GlorotNormal,l2,relu,0.8949999809265137,0.3
65,sgd,GlorotNormal,l2,relu,0.893666684627533,0.5
66,sgd,GlorotNormal,l2,tanh,0.887499988079071,0
67,sgd,GlorotNormal,l2,tanh,0.8858333230018616,0.3
68,sgd,GlorotNormal,l2,tanh,0.8811666369438171,0.5
69,sgd,GlorotNormal,l2,sigmoid,0.8535000085830688,0
70,sgd,GlorotNormal,l2,sigmoid,0.8448333144187927,0.3
71,sgd,GlorotNormal,l2,sigmoid,0.8374999761581421,0.5
72,adamW,HeNormal,l1,relu,0.8993333578109741,0
73,adamW,HeNormal,l1,relu,0.8996666669845581,0.3
74,adamW,HeNormal,l1,relu,0.8963333368301392,0.5
75,adamW,HeNormal,l1,tanh,0.8933333158493042,0
76,adamW,HeNormal,l1,tanh,0.89083331823349,0.3
77,adamW,HeNormal,l1,tanh,0.8849999904632568,0.5
78,adamW,HeNormal,l1,sigmoid,0.8991666436195374,0
79,adamW,HeNormal,l1,sigmoid,0.902999997138977,0.3
80,adamW,HeNormal,l1,sigmoid,0.9011666774749756,0.5
81,adamW,HeNormal,l2,relu,0.9008333086967468,0
82,adamW,HeNormal,l2,relu,0.9023333191871643,0.3
83,adamW,HeNormal,l2,relu,0.8946666717529297,0.5
84,adamW,HeNormal,l2,tanh,0.8918333053588867,0
85,adamW,HeNormal,l2,tanh,0.8911666870117188,0.3
86,adamW,HeNormal,l2,tanh,0.8846666812896729,0.5
87,adamW,HeNormal,l2,sigmoid,0.8983333110809326,0
88,adamW,HeNormal,l2,sigmoid,0.9045000076293945,0.3
89,adamW,HeNormal,l2,sigmoid,0.903333306312561,0.5
90,adamW,RandomNormal,l1,relu,0.8989999890327454,0
91,adamW,RandomNormal,l1,relu,0.9024999737739563,0.3
92,adamW,RandomNormal,l1,relu,0.8978333473205566,0.5
93,adamW,RandomNormal,l1,tanh,0.8928333520889282,0
94,adamW,RandomNormal,l1,tanh,0.8901666402816772,0.3
95,adamW,RandomNormal,l1,tanh,0.887499988079071,0.5
96,adamW,RandomNormal,l1,sigmoid,0.8989999890327454,0
97,adamW,RandomNormal,l1,sigmoid,0.9028333425521851,0.3
98,adamW,RandomNormal,l1,sigmoid,0.9039999842643738,0.5
99,adamW,RandomNormal,l2,relu,0.8970000147819519,0
100,adamW,RandomNormal,l2,relu,0.9016666412353516,0.3
101,adamW,RandomNormal,l2,relu,0.8953333497047424,0.5
102,adamW,RandomNormal,l2,tanh,0.8911666870117188,0
103,adamW,RandomNormal,l2,tanh,0.8923333287239075,0.3
104,adamW,RandomNormal,l2,tanh,0.8901666402816772,0.5
105,adamW,RandomNormal,l2,sigmoid,0.8983333110809326,0
106,adamW,RandomNormal,l2,sigmoid,0.903333306312561,0.3
107,adamW,RandomNormal,l2,sigmoid,0.9014999866485596,0.5
108,adamW,RandomUniform,l1,relu,0.8996666669845581,0
109,adamW,RandomUniform,l1,relu,0.9016666412353516,0.3
110,adamW,RandomUniform,l1,relu,0.8988333344459534,0.5
111,adamW,RandomUniform,l1,tanh,0.8921666741371155,0
112,adamW,RandomUniform,l1,tanh,0.8898333311080933,0.3
113,adamW,RandomUniform,l1,tanh,0.8865000009536743,0.5
114,adamW,RandomUniform,l1,sigmoid,0.8993333578109741,0
115,adamW,RandomUniform,l1,sigmoid,0.9054999947547913,0.3
116,adamW,RandomUniform,l1,sigmoid,0.9035000205039978,0.5
117,adamW,RandomUniform,l2,relu,0.8978333473205566,0
118,adamW,RandomUniform,l2,relu,0.9008333086967468,0.3
119,adamW,RandomUniform,l2,relu,0.8943333625793457,0.5
120,adamW,RandomUniform,l2,tanh,0.8918333053588867,0
121,adamW,RandomUniform,l2,tanh,0.8886666893959045,0.3
122,adamW,RandomUniform,l2,tanh,0.8859999775886536,0.5
123,adamW,RandomUniform,l2,sigmoid,0.8985000252723694,0
124,adamW,RandomUniform,l2,sigmoid,0.9020000100135803,0.3
125,adamW,RandomUniform,l2,sigmoid,0.8991666436195374,0.5
126,adamW,GlorotNormal,l1,relu,0.9008333086967468,0
127,adamW,GlorotNormal,l1,relu,0.9003333449363708,0.3
128,adamW,GlorotNormal,l1,relu,0.8945000171661377,0.5
129,adamW,GlorotNormal,l1,tanh,0.8939999938011169,0
130,adamW,GlorotNormal,l1,tanh,0.8911666870117188,0.3
131,adamW,GlorotNormal,l1,tanh,0.8856666684150696,0.5
132,adamW,GlorotNormal,l1,sigmoid,0.8986666798591614,0
133,adamW,GlorotNormal,l1,sigmoid,0.9026666879653931,0.3
134,adamW,GlorotNormal,l1,sigmoid,0.9013333320617676,0.5
135,adamW,GlorotNormal,l2,relu,0.8983333110809326,0
136,adamW,GlorotNormal,l2,relu,0.9021666646003723,0.3
137,adamW,GlorotNormal,l2,relu,0.8945000171661377,0.5
138,adamW,GlorotNormal,l2,tanh,0.8934999704360962,0
139,adamW,GlorotNormal,l2,tanh,0.8923333287239075,0.3
140,adamW,GlorotNormal,l2,tanh,0.8881666660308838,0.5
141,adamW,GlorotNormal,l2,sigmoid,0.8993333578109741,0
142,adamW,GlorotNormal,l2,sigmoid,0.9024999737739563,0.3
143,adamW,GlorotNormal,l2,sigmoid,0.9010000228881836,0.5
